job_id,isic_1digit,isic_2digit,isic_3digit,isic_4digit,isic_1digit_confidence,isic_2digit_confidence,isic_3digit_confidence,isic_4digit_confidence,isco_1digit,isco_2digit,isco_3digit,isco_4digit,isco_1digit_confidence,isco_2digit_confidence,isco_3digit_confidence,isco_4digit_confidence,classification_summary
24979,C,33,331,3310,0.85,0.8,0.75,0.7,7,72,723,7232,1.0,0.95,0.9,0.85,"The job is best classified economically as repair and maintenance of machinery and equipment (ISIC Division 33) because the core duties focus on servicing heavy machinery. Occupationally it maps clearly to ISCO-08 trades: a heavy equipment/mechanical repair role within the machinery mechanics and repairers group (major group 7), with high confidence at the major and sub-major levels and slightly lower confidence at the most detailed class levels."
24978,L,68,683,6832,0.9,0.85,0.8,0.75,4,42,422,4221,0.9,0.9,0.85,0.8,"The employer/role is best classified under ISIC Rev.4 as Real estate activities (Section L, Division 68), specifically management of real estate on a fee or contract basis (6832), reflecting property/estate management and facilities responsibilities. The occupation fits ISCO-08 Receptionists (4221) as the primary duties are front-desk reception, visitor registration and administrative support, with some security-related tasks augmenting but not dominating the role."
24977,N - Administrative and support service activities,81 - Services to buildings and landscape activities,813 - Landscape service activities,8130 - Landscape service activities,0.95,0.98,0.98,0.95,"6 - Skilled agricultural, forestry and fishery workers",61 - Market-oriented skilled agricultural workers,611 - Market gardeners and crop growers,,0.9,0.75,0.6,0.2,"This posting is clearly for landscaping/grounds-maintenance services, which fits well within ISIC Rev.4 Division 81 (Services to buildings and landscape activities), specifically class 8130. Occupationally, the role aligns with gardeners/landscapers and is best placed within ISCO major group 6 (skilled agricultural/ horticultural workers); finer-grained ISCO unit-group assignment is less certain from the ad and is therefore left unspecified."
24976,L,68,68.3,68.32,0.65,0.6,0.5,0.45,1,13,133,1330,0.98,0.95,0.93,0.9,"The occupation is clearly an ICT Manager and maps well to ISCO-08 Information and communications technology service managers (1330) with high confidence based on the job title and duties. The employer name (Glory Estate Limited) suggests the firm operates in real estate, so the ISIC assignment to Real estate activities (Section L, Division 68, Group 68.3, Class 68.32) is plausible but less certain because the posting's informal industry field lists IT and the company’s core activity is not explicit."
24975,C,33,331,3312,0.7,0.9,0.8,0.6,7,72,723,7232,0.9,0.85,0.8,0.6,"This role is best classified to ISIC Division 33 (Repair and installation of machinery and equipment) because the primary duties are preventive maintenance, troubleshooting and repair of diesel/gas generator sets. Occupationally, the job fits within craft/maintenance trade categories (ISCO major group 7), specifically machinery mechanics/repairers (machine and generator technician); the highest-level classifications are confident but the most detailed 4-digit class/unit mappings carry some uncertainty because generator work spans electrical and mechanical specialties and the employer's informal industry (construction) could also support an alternative classification at detailed levels."
24974,F,43,433,4330,0.98,0.95,0.9,0.85,7,71,,,0.95,0.9,0.3,0.2,"This posting is clearly for a construction trades role (exterior carpentry/joinery) so the economic activity maps to ISIC Section F (Construction), specifically specialised construction activities (43) and building completion and finishing (433 / 4330). The occupational assignment to ISCO major group 7 and sub-major 71 (building and related trades workers) is highly confident; more specific ISCO 3- and 4-digit codes are left unspecified due to the posting's limited detail and absence of an explicit unit-group label."
24973,F,43,431,4312,0.9,0.85,0.8,0.75,8,83,832,8322,0.95,0.9,0.85,0.8,"This posting is for an excavator operator working on construction sites (site preparation/earthmoving), so the activity best fits ISIC Section F — Specialized construction activities (site preparation, class 4312). The occupation is a mobile plant/operator role and aligns with ISCO major group 8 (plant and machine operators) — specifically drivers/mobile-plant operators (mobile earth-moving equipment); confidence is high for the broad categories and slightly lower for the most granular 4-digit classes due to overlap between civil engineering and specialized construction activities and minor variation in ISCO unit-group labeling."
24972,F,42,429,4290,0.99,0.95,0.85,0.75,2,21,214,2141,0.99,0.98,0.96,0.95,"This posting is clearly for a civil engineering professional working on construction/infrastructure projects, matching ISIC Section F and Division 42 (civil engineering) and ISCO-08 unit group 2141 (Civil engineers). The ISIC 3- and 4-digit assignments are slightly less certain because the role spans multiple types of civil works (roads, bridges, utilities, surveying) that could map to several 3/4-digit classes."
24929,B,07,072,0729,0.98,0.98,0.95,0.92,1,12,121,1219,0.95,0.92,0.88,0.8,"The employer is a mining company (gold mine), so the economic activity clearly maps to ISIC section B — Mining and quarrying, Division 07 (Mining of metal ores), Group 072 (Mining of non‑ferrous metal ores), Class 0729 (Mining of other non‑ferrous metal ores). The role is a senior contracts/ commercial team lead within the company and best fits ISCO-08 under Managers (1), Administrative and commercial managers (12), Business services and administration managers (121), with the specific unit group as 1219 (business services/administration managers not elsewhere classified); this mapping is confident though the precise 4‑digit ISCO unit could vary depending on national interpretation of contract‑management functions."
24826,B,07,072,,0.99,0.98,0.9,0.5,2,21,214,2143,0.99,0.98,0.96,0.92,"The employer and duties place this role squarely within the mining industry (metal ores) — specifically the Kainantu gold mine — so ISIC Section B and Division 07 (mining of metal ores) are appropriate. The advertised role is an Electrical Engineer responsible for power generation and distribution on-site, which maps to ISCO-08 as an engineering professional (214) and specifically electrical engineer (2143) with high confidence."
24738,B,07,072,0729,0.95,0.95,0.9,0.6,2,21,214,2145,0.95,0.9,0.9,0.9,"This posting is clearly for a mining activity (underground gold mining) and therefore maps to ISIC section B, division 07 (Mining of metal ores). The occupation is unambiguously a senior mining engineer responsible for mine planning and operations, best represented by ISCO-08 engineering professionals (unit group 2145: mining engineers, metallurgists and related professionals)."
24798,G,45,452,4520,0.95,0.95,0.9,0.9,7,72,723,7231,0.95,0.9,0.88,0.9,"The job is clearly a motor vehicle maintenance and repair role (auto electrician) and best fits ISIC class 4520: Maintenance and repair of motor vehicles. The occupation corresponds to ISCO-08 unit group 7231 (motor vehicle mechanics and repairers); slight ambiguity arises from the employer being in construction and work on heavy equipment and hybrid systems, but the core tasks are vehicle electrical diagnosis and repair."
24797,I,56,561,5610,0.99,0.98,0.95,0.9,5,51,513,5131,0.9,0.75,0.6,0.45,"This posting is clearly for a front-of-house supervisor in a restaurant/fast-food establishment and maps well to ISIC section I, Division 56 (Food and beverage service activities), most specifically class 5610 (Restaurants and mobile food service activities). Occupationally it falls within service and sales workers (ISCO major group 5), most closely related to waiters/food and beverage service roles (ISCO 513/5131), though the supervisory nature (reporting to a Restaurant Manager) makes the precise 4-digit ISCO assignment less certain."
24737,B,07,072,0729,0.98,0.97,0.96,0.95,2,21,214,2145,0.99,0.95,0.9,0.75,"The vacancy is a clear match to ISIC Rev.4 Section B, Division 07 (Mining of metal ores), with class 0729 (Mining of other non‑ferrous metal ores — e.g., gold). The occupation is best classified under ISCO‑08 as a professional engineering role (Major Group 2, Sub‑major 21, Minor Group 214), most closely corresponding to the mining engineer unit group (2145) though exact 4‑digit placement may vary by national implementations."
24793,F,41,411,4110,0.95,0.92,0.88,0.8,4,43,431,,0.95,0.8,0.65,0.25,"Industry: The role is best classified in ISIC Section F (Construction), Division 41 (Construction of buildings), Group 411 (Construction of residential and non-residential buildings) — the posting is explicitly construction/design focused so this mapping is high confidence. Occupation: The Document Controller is a clerical/records role involved in document management for construction projects and therefore fits within ISCO major group 4 (Clerical support workers), sub-major 43 (Numerical and material recording clerks) and minor group 431 (records/file-keeping functions); the exact 4-digit ISCO unit group is less certain from the posting and is left unspecified."
24703,I,56,561,5610,0.99,0.98,0.95,0.95,5,51,513,5131,0.99,0.9,0.95,0.95,"The vacancy is for a front-of-house waiter/waitress in a restaurant/fast-food setting, matching ISIC class 5610 (Restaurants and mobile food service activities) and ISCO unit group 5131 (Waiters). Classification is highly certain at the section/division and major-group levels; minor ambiguity could exist only when distinguishing highly specific food/beverage subcategories (e.g., purely beverage service or event catering), but the duties described clearly identify standard restaurant waiting staff."
24702,I - Accommodation and food service activities,56 - Food and beverage service activities,56.1 - Restaurants and mobile food service activities,56.10 - Restaurants and mobile food service activities,0.98,0.96,0.93,0.9,5 - Service and sales workers,52 - Sales workers,522 - Shop sales assistants and demonstrators,,0.95,0.9,0.85,0.2,"This is a front-of-house food service role operating a point-of-sale, handling cash/EFTPOS and light food/restaurant duties, so it maps clearly to ISIC class 56.10 (restaurants and mobile food service activities). Occupationally it fits within ISCO major group 5 and sub-major 52 as a shop/sales assistant/cashier (522 shop sales assistants and demonstrators); the exact 4-digit ISCO unit group is not determinable with high certainty from the posting alone."
