job_id,isic_1digit,isic_2digit,isic_3digit,isic_4digit,isic_1digit_confidence,isic_2digit_confidence,isic_3digit_confidence,isic_4digit_confidence,isco_1digit,isco_2digit,isco_3digit,isco_4digit,isco_1digit_confidence,isco_2digit_confidence,isco_3digit_confidence,isco_4digit_confidence,classification_summary
25377,P - Education,85 - Education,853 - Higher education,8530 - Higher education,0.98,0.98,0.96,0.95,2 - Professionals,23 - Teaching professionals,231 - University and higher education teachers,2310 - University and higher education teachers,0.99,0.98,0.96,0.95,
24184,H - Transportation and storage,49 - Land transport and transport via pipelines,492 - Freight transport by road,4921 - Freight transport by road,0.98,0.95,0.95,0.9,8 - Plant and machine operators and assemblers,83 - Drivers and mobile plant operators,833 - Heavy truck and bus drivers,,0.95,0.95,0.95,0.4,
21709,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,45 - Wholesale and retail trade and repair of motor vehicles and motorcycles,452 - Maintenance and repair of motor vehicles,4520 - Maintenance and repair of motor vehicles,0.95,0.95,0.95,0.9,7 - Craft and related trades workers,"72 - Metal, machinery and related trades workers",723 - Motor vehicle mechanics and repairers,7231 - Motor vehicle mechanics and repairers,0.95,0.9,0.95,0.9,
25362,F - Construction,42 - Civil engineering,429 - Construction of other civil engineering projects,4290 - Construction of other civil engineering projects,1.0,0.98,0.95,0.9,2 - Professionals,21 - Science and engineering professionals,214 - Engineering professionals,2141 - Civil engineers,0.99,0.96,0.93,0.9,
25071,P - Education,85 - Education,852 - Secondary education,8520 - Secondary education,0.99,0.99,0.97,0.92,2 - Professionals,23 - Teaching professionals,232 - Secondary education teachers,2320 - Secondary school teachers,0.99,0.98,0.95,0.92,
25226,P - Education,85 - Education,853 - Higher education,8530 - Higher education,0.98,0.98,0.96,0.96,2 - Professionals,23 - Teaching professionals,231 - University and higher education teachers,2310 - University and higher education teachers,0.97,0.97,0.95,0.95,
25245,B - Mining and quarrying,07 - Mining of metal ores,072 - Mining of non-ferrous metal ores,0720 - Mining of non-ferrous metal ores,0.98,0.97,0.95,0.6,2 - Professionals,21 - Science and engineering professionals,214 - Engineering professionals,2141 - Civil engineers,0.95,0.9,0.9,0.9,
25026,P - Education,85 - Education,853 - Higher education,8530 - Higher education,0.99,0.98,0.97,0.96,2 - Professionals,23 - Teaching professionals,231 - University and higher education teachers,2310 - University and higher education teachers,0.99,0.95,0.96,0.95,
24826,B - Mining and quarrying,07 - Mining of metal ores,071 - Mining of metal ores,0710 - Mining of metal ores,0.99,0.98,0.95,0.9,2 - Professionals,21 - Science and engineering professionals,214 - Engineering professionals,2143 - Electrical engineers,0.98,0.97,0.96,0.9,
25324,P - Education,85 - Education,853 - Higher education,8530 - Higher education,0.99,0.99,0.95,0.95,1 - Managers,12 - Administrative and commercial managers,"122 - Sales, marketing and development managers",1221 - Sales and marketing managers,0.99,0.9,0.88,0.8,
24582,B - Mining and quarrying,07 - Mining of metal ores,072 - Mining of non-ferrous metal ores,,0.98,0.98,0.92,0.15,8 - Plant and machine operators and assemblers,81 - Stationary plant and machine operators,811 - Mining and mineral processing plant operators,,0.98,0.9,0.75,0.15,
25228,P - Education,85 - Education,85.3 - Higher education,"85.31 - Higher education (universities, colleges and other higher education)",1.0,0.99,0.97,0.86,2 - Professionals,23 - Teaching professionals,231 - University and higher education teachers,2310 - University and higher education teachers,0.99,0.97,0.95,0.92,
25012,L - Real estate activities,68 - Real estate activities,68.2 - Renting and operating of own or leased real estate,68.20 - Renting and operating of own or leased real estate,0.9,0.9,0.85,0.8,7 - Craft and related trades workers,74 - Electrical and electronic trades workers,741 - Electrical and electronic installers and repairers,7411 - Electricians,0.95,0.95,0.9,0.9,
25269,B - Mining and quarrying,07 - Mining of metal ores,072 - Mining of non‑ferrous metal ores,,0.99,0.98,0.9,0.2,2 - Professionals,21 - Science and engineering professionals,212 - Engineering professionals,2123 - Electrical engineers,0.95,0.95,0.95,0.98,
25162,B - Mining and quarrying,07 - Mining of metal ores,072 - Mining of non-ferrous metal ores,0729 - Mining of other non-ferrous metal ores,0.99,0.98,0.9,0.85,7 - Craft and related trades workers,74 - Electrical and electronic trades workers,741 - Electrical and electronic equipment mechanics and fitters,7411 - Electricians and electrical fitters,0.95,0.92,0.9,0.88,
25331,"M - Professional, scientific and technical activities","74 - Other professional, scientific and technical activities",741 - Specialised design activities,7410 - Specialised design activities,0.95,0.9,0.9,0.95,2 - Professionals,21 - Science and engineering professionals,"216 - Architectural, engineering and related professionals",2166 - Graphic and multimedia designers,0.95,0.85,0.85,0.95,
25346,I - Accommodation and food service activities,55 - Accommodation,551 - Short-term accommodation activities,5510 - Short-term accommodation activities,0.99,0.98,0.97,0.95,1 - Managers,"14 - Hospitality, retail and other services managers",141 - Hotel managers,1411 - Hotel managers,0.98,0.95,0.85,0.7,
14919,H - Transportation and storage,52 - Warehousing and support activities for transportation,521 - Warehousing and storage,5210 - Warehousing and storage,0.98,0.98,0.95,0.95,8 - Plant and machine operators and assemblers,83 - Drivers and mobile plant operators,,,0.95,0.9,0.2,0.15,
25174,P - Education,85 - Education,853 - Higher education,8530 - Higher education,0.99,0.98,0.95,0.93,2 - Professionals,23 - Teaching professionals,231 - University and higher education teachers,2310 - University and higher education teachers,0.99,0.97,0.95,0.93,
24989,P - Education,85 - Education,854 - Higher education,8540 - Higher education,0.99,0.99,0.98,0.98,2 - Professionals,23 - Teaching Professionals,231 - University and higher education teachers,2310 - University and higher education teachers,0.99,0.99,0.98,0.97,
24918,B - Mining and quarrying,07 - Mining of metal ores,072 - Mining of non-ferrous metal ores,0729 - Mining of other non-ferrous metal ores,0.99,0.98,0.95,0.9,3 - Technicians and associate professionals,31 - Physical and engineering science technicians,311 - Physical and engineering science technicians,3115 - Mechanical engineering technicians,0.95,0.9,0.85,0.8,
