job_id,title,date_posted,first_seen,last_seen,location,industry,employer,employment_type,salary,url,html_file,json_file,description_length,scraped_at,status
25047,Parts Manager,01/11/2025,2025-11-01T07:56:55.943482,2025-11-01T12:41:58.936994,Western (Fly),Automotive,WR Carpenter (PNG) Limited,,",",https://www.pngworkforce.com/jobs/view/parts-manager/25047,html_output/job_25047.html,json_output/job_25047.json,2660,2025-11-01T12:29:09.325041,success
25046,Logistics Officer,01/11/2025,2025-11-01T07:56:58.312265,2025-11-01T12:41:58.936994,Morobe,"Logistics, Transport and Supply",WR Carpenter (PNG) Limited,,",",https://www.pngworkforce.com/jobs/view/logistics-officer/25046,html_output/job_25046.html,json_output/job_25046.json,4073,2025-11-01T12:29:12.624956,success
25045,"PEOPLE, CULTURE & SAFEGUARDING COORDINATOR",01/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,Non Government Organisations (NGOs),WaterAid PNG,Permanent,",",https://www.pngworkforce.com/jobs/view/people-culture-safeguarding-coordinator/25045,html_output/job_25045.html,json_output/job_25045.json,9947,2025-10-31T16:20:31.999037,success
25044,Executive Director,30/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,Government,PeopleConnexion,,",",https://www.pngworkforce.com/jobs/view/executive-director-investigation-intelligence-assessment-division/25044,html_output/job_25044.html,json_output/job_25044.json,3143,2025-10-31T16:20:34.333348,success
25043,Executive Director,30/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,Government,PeopleConnexion,,",",https://www.pngworkforce.com/jobs/view/executive-director-prevention-engagement-division/25043,html_output/job_25043.html,json_output/job_25043.json,3017,2025-10-31T16:20:37.524383,success
25042,"Team Lead, Emergency Response",30/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,"National Capital District, Morobe, Autonomous Region of Bougainville, East Sepik, East New Britain, Madang, Milne Bay, New Ireland, West New Britain, Western Highlands, Papua New Guinea","Health, Medical and Healthcare, Occupational Health and Safety, Professional Services",Newmont,,",",https://www.pngworkforce.com/jobs/view/team-lead-emergency-response/25042,html_output/job_25042.html,json_output/job_25042.json,5237,2025-10-31T16:20:39.894567,success
25041,Executive Director,30/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,Government,PeopleConnexion,,",",https://www.pngworkforce.com/jobs/view/executive-director-legal-services-division/25041,html_output/job_25041.html,json_output/job_25041.json,3266,2025-10-31T16:20:42.227057,success
25040,Diesel Fitter,30/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,"National Capital District, Central, Papua New Guinea",Mechanical,Jopet Mining & Civil PNG Limited,,",",https://www.pngworkforce.com/jobs/view/diesel-fitter/25040,html_output/job_25040.html,json_output/job_25040.json,2855,2025-10-31T16:20:44.572950,success
25039,Consultant – Early Warning Systems,30/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,"Consultancy, Non Government Organisations (NGOs)",International Organisation for Migration,Contract,",",https://www.pngworkforce.com/jobs/view/consultant-early-warning-systems/25039,html_output/job_25039.html,json_output/job_25039.json,9098,2025-10-31T16:20:46.912350,success
25038,Graduate Field Coordinator,30/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,Professional Services,Tebbutt Research PNG,,",",https://www.pngworkforce.com/jobs/view/graduate-field-coordinator/25038,html_output/job_25038.html,json_output/job_25038.json,4558,2025-10-31T16:20:50.115216,success
25037,Senior Expeditor – (LAE11000004),30/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,Morobe,"Mining, Oil and Gas",Harmony Australasia,,11000004,https://www.pngworkforce.com/jobs/view/senior-expeditor-lae11000004/25037,html_output/job_25037.html,json_output/job_25037.json,4416,2025-10-31T16:20:53.275703,success
25035,Nurse,30/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,Education and Training,Pacific Adventist University,,",",https://www.pngworkforce.com/jobs/view/nurse/25035,html_output/job_25035.html,json_output/job_25035.json,3536,2025-10-31T16:20:55.637426,success
25033,Supervisor Dispatch,30/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,New Ireland,"Logistics, Transport and Supply, Mining, Oil and Gas",Newmont,,",",https://www.pngworkforce.com/jobs/view/supervisor-dispatch/25033,html_output/job_25033.html,json_output/job_25033.json,6850,2025-10-31T16:20:58.816411,success
25032,Executive Director,30/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,Non Government Organisations (NGOs),PeopleConnexion,,",",https://www.pngworkforce.com/jobs/view/executive-director/25032,html_output/job_25032.html,json_output/job_25032.json,3075,2025-10-31T16:21:01.140123,success
25031,PROCUREMENT CLERK – FARM BASED ,30/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,Morobe,Procurement / Purchasing,Zenag Chicken,,",",https://www.pngworkforce.com/jobs/view/procurement-clerk-farm-based/25031,html_output/job_25031.html,json_output/job_25031.json,2586,2025-10-31T16:21:04.539089,success
25030,Hose Shop Technician (8x),30/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,Morobe,Heavy Equipment,Hastings Deering PNG Ltd,,8,https://www.pngworkforce.com/jobs/view/hose-shop-technician-8x/25030,html_output/job_25030.html,json_output/job_25030.json,3295,2025-10-31T16:21:07.880631,success
25029,HSE Advisor,29/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,New Ireland,"Construction, Building and Architecture, Occupational Health and Safety",HBS PNG,,",",https://www.pngworkforce.com/jobs/view/hse-advisor/25029,html_output/job_25029.html,json_output/job_25029.json,3274,2025-10-31T16:21:11.028201,success
25028,Logistics Supervisor ,29/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,"Logistics, Transport and Supply",Private Job Ads,,",",https://www.pngworkforce.com/jobs/view/logistics-supervisor/25028,html_output/job_25028.html,json_output/job_25028.json,4588,2025-10-31T16:21:14.235547,success
25027,Laboratory Technician ,29/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,Education and Training,Pacific Adventist University,,",",https://www.pngworkforce.com/jobs/view/laboratory-technician/25027,html_output/job_25027.html,json_output/job_25027.json,3304,2025-10-31T16:21:17.458851,success
25026,"LECTURER, NURSING",29/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,Education and Training,Pacific Adventist University,,",",https://www.pngworkforce.com/jobs/view/lecturer-nursing/25026,html_output/job_25026.html,json_output/job_25026.json,3822,2025-10-31T16:21:20.622247,success
25025,Public Relations & Communication Manager,29/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,Education and Training,Pacific Adventist University,,",",https://www.pngworkforce.com/jobs/view/public-relations-communication-manager/25025,html_output/job_25025.html,json_output/job_25025.json,3361,2025-10-31T16:21:22.981174,success
25023,Logistics and Admin Officer,30/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,"National Capital District, Papua New Guinea","Administration / Office Support, Logistics, Transport and Supply",Mines Advisory Group (MAG) PNG,Full-Time,",",https://www.pngworkforce.com/jobs/view/logistics-and-admin-officer/25023,html_output/job_25023.html,json_output/job_25023.json,7638,2025-10-31T16:21:26.457306,success
25021,Branch Manager,29/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,Madang,"Logistics, Transport and Supply, Management",WR Carpenter (PNG) Limited,,",",https://www.pngworkforce.com/jobs/view/branch-manager/25021,html_output/job_25021.html,json_output/job_25021.json,4039,2025-10-31T16:21:28.800003,success
25020,Facility Maintenance Supervisor,29/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,Southern Highlands,"Construction, Building and Architecture",Kutmor,,",",https://www.pngworkforce.com/jobs/view/facility-maintenance-supervisor/25020,html_output/job_25020.html,json_output/job_25020.json,4212,2025-10-31T16:21:31.139674,success
25019,Finance Manager,29/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,Eastern Highlands,Non Government Organisations (NGOs),CARE International in PNG,,",",https://www.pngworkforce.com/jobs/view/finance-manager/25019,html_output/job_25019.html,json_output/job_25019.json,4783,2025-10-31T16:21:33.469385,success
